koi_period,koi_impact
9.76734503,0.9
119.0207044,0.076
190.3200468,0.812
2.861159894,0.965
26.44439337,0.03
51.53997972,0.183
5.902245782,0.209
2.382951591,0.479
21.02250608,0.036
3.219814777,0.06
5.912273234,0.17
8.98581901,0.008
12.94066866,0.897
20.5452375,0.95
33.60123371,0.67
6.76652928,0.429
4.347288783,0.025
4.601811819,0.567
11.18719905,0.387
4.220965778,0.705
6.998099523,7.361
5.95489993,0.327
12.03987488,0.286
20.83762895,0.706
8.8111022,1.223
23.58917143,0.926
6.481633073,0.833
10.37168928,0.537
3.96996298,0.836
4.40841331,0.899
7.9426176,0.942
226.8904775,0.731
1.956811408,1.091
2.688899233,0.001
9.439459486,0.049
11.52306746,0
20.47748843,0.497
3.336123113,0.252
8.01078456,0.192
12.07134205,0.014
20.99587872,0.228
7.41113177,0.712
1.000747038,0.908
8.884922995,0.069
8.09888906,0.018
10.00653012,0.862
17.85522168,0.075
12.73262407,0.811
83.92494032,0.658
5.007316661,0.344
2.211116989,0.69
27.9541337,0.063
12.69104387,0.008
4.409409243,0.028
16.23947096,0.043
6.308201629,0.03
2.052349884,0.437
9.7704486,0.09
5.169804269,0.351
21.22261195,0.02
20.09017037,0.886
7.11373257,0.334
3.306551643,0.001
15.36845737,0.115
13.81020318,0.791
4.093578461,0.93
105.145959,0.964
10.8484518,0.21
6.66833241,0.644
4.082274889,0.093
3.886655224,0.649
42.1406089,0.045
4.617490562,0.649
10.19849255,0.714
5.795063956,0.949
7.15681552,0.45
17.64830851,0.653
4.14810719,0.093
16.51410989,0.395
30.1329298,0.839
4.79090809,0.11
31.71981013,0.125
99.6415962,0.028
4.708326451,0.061
16.37198661,9.303
5.392026903,0.314
2.494170338,0.095
6.491682808,0.535
3.044770796,1.252
3.855603916,0.348
3.855599139,0.864
38.47876629,0.003
37.60166128,0.408
3.314947362,0.799
6.71969089,0.985
39.6431552,0.062
51.42598578,0.203
21.80451611,0.751
10.28194593,0.168
18.11993039,0.206
3.78402867,0.691
5.15448142,0.933
33.80364366,0.023
5.743469797,0.001
39.4759093,0.938
19.97448524,0.886
3.166353562,0.032
23.89963441,1.245
3.388012244,0.433
5.83909761,0.341
1.620467654,0.271
10.6816951,0.646
6.104849417,0.041
3.578780566,0.079
3.187067566,1.234
5.826657508,0.033
12.41216347,0.021
18.74649011,0.508
20.86021229,0.066
42.63427848,0.142
87.6476068,0.147
9.61731426,0.331
9.467821474,0.081
0.893040969,0.009
4.942783419,0.566
20.83426731,0.256
9.94602357,0.035
1.04562195,0.037
5.71462396,0.503
102.9641952,0.922
8.14515981,0.965
18.9985279,1.3
4.24439049,0.949
90.1240507,0.698
28.5742692,0.068
856.672115,0.1158
0.689210173,0.154
